PID	CovParm	Estimate	Alpha	Lower	Upper
1	lot	1.4314	0.05	-1.3407	4.2035
1	lot*calibration	0.03643	0.05	-0.00321	0.07607
1	lot*calibration*day	0.03612	0.05	0.004969	0.06728
1	lot*calibrat*day*run	0.02523	0.05	0.004269	0.04619
1	Residual	0.06144	0.05	0.04870	0.07996
2	lot	2.0766	0.05	-1.8944	6.0476
2	lot*calibration	0.1621	0.05	0.02474	0.2995
2	lot*calibration*day	0.03856	0.05	-0.04237	0.1195
2	lot*calibrat*day*run	0.1299	0.05	0.04625	0.2136
2	Residual	0.1983	0.05	0.1572	0.2581
3	lot	2.7004	0.05	-2.4867	7.8875
3	lot*calibration	0.2802	0.05	0.02318	0.5372
3	lot*calibration*day	0.03993	0.05	-0.1434	0.2233
3	lot*calibrat*day*run	0.3674	0.05	0.1565	0.5783
3	Residual	0.4336	0.05	0.3437	0.5643
4	lot	2.0212	0.05	-1.9339	5.9762
4	lot*calibration	0.4098	0.05	-0.09537	0.9150
4	lot*calibration*day	0.2028	0.05	-0.2522	0.6577
4	lot*calibrat*day*run	0.8011	0.05	0.3283	1.2738
4	Residual	1.0094	0.05	0.8001	1.3136
5	lot	2.6982	0.05	-2.6100	8.0064
5	lot*calibration	0.2015	0.05	-0.3085	0.7116
5	lot*calibration*day	0.4529	0.05	-0.08584	0.9917
5	lot*calibrat*day*run	0.7578	0.05	0.2977	1.2179
5	Residual	1.0188	0.05	0.8075	1.3258
6	lot	2.2450	0.05	-2.1932	6.6833
6	lot*calibration	0.9319	0.05	0.01275	1.8511
6	lot*calibration*day	0.5208	0.05	-0.09483	1.1365
6	lot*calibrat*day*run	1.0909	0.05	0.5897	1.5921
6	Residual	0.6516	0.05	0.5165	0.8479
7	lot	2.4954	0.05	-2.5380	7.5288
7	lot*calibration	1.4792	0.05	0.1169	2.8415
7	lot*calibration*day	0.3515	0.05	-0.5888	1.2918
7	lot*calibrat*day*run	1.7976	0.05	0.7908	2.8044
7	Residual	1.9955	0.05	1.5817	2.5969
8	lot	4.1840	0.05	-4.1441	12.5121
8	lot*calibration	1.8469	0.05	-0.05910	3.7528
8	lot*calibration*day	0.5673	0.05	-1.0258	2.1605
8	lot*calibrat*day*run	4.0846	0.05	2.4080	5.7611
8	Residual	1.3827	0.05	1.0960	1.7994
9	lot	1.2820	0.05	-2.6569	5.2209
9	lot*calibration	4.7970	0.05	-0.06178	9.6558
9	lot*calibration*day	3.4252	0.05	-0.4588	7.3093
9	lot*calibrat*day*run	6.0634	0.05	2.9715	9.1553
9	Residual	5.1956	0.05	4.1182	6.7613
